"UNIQUE WORDs","FREQUENCY COUNT","CHARACTER COUNT"
"e","2377","1"
"a","2371","1"
"i","1644","1"
"s","1506","1"
"t","1473","1"
"m","1329","1"
"l","1141","1"
"c","990","1"
"on","897","2"
"am","675","2"
"u","641","1"
"b","613","1"
"g","595","1"
"ama","543","3"
"amaz","525","4"
"azon","516","4"
"amazo","514","5"
"mazon","510","5"
"amazon","508","6"
"k","480","1"
"in","460","2"
"v","252","1"
"an","242","2"
"st","231","2"
"ar","224","2"
"ca","209","2"
"to","203","2"
"me","201","2"
"or","200","2"
"al","198","2"
"en","192","2"
"at","184","2"
"de","170","2"
"x","166","1"
"ch","159","2"
"one","144","3"
"the","136","3"
"0","136","1"
"om","135","2"
"ti","130","2"
"it","125","2"
"3","121","1"
"ni","118","2"
"us","118","2"
"5","111","1"
"hi","105","2"
"is","99","2"
"un","98","2"
"1","97","1"
"2","94","1"
"4","93","1"
"so","92","2"
"of","91","2"
"phone","90","5"
"book","90","4"
"mo","88","2"
"be","84","2"
"il","83","2"
"di","78","2"
"ge","78","2"
"6","76","1"
"kind","74","4"
"fi","74","2"
"no","73","2"
"kindle","72","6"
"and","63","3"
"do","62","2"
"rt","61","2"
"na","60","2"
"ion","57","3"
"iphone","57","6"
"ws","54","2"
"8","52","1"
"ct","51","2"
"com","49","3"
"go","47","2"
"7","46","1"
"pi","43","2"
"ps","42","2"
"if","41","2"
"prime","41","5"
"nes","41","3"
"gr","39","2"
"case","39","4"
"we","38","2"
"pro","38","3"
"tab","38","3"
"con","36","3"
"car","35","3"
"for","33","3"
"aws","33","3"
"can","33","3"
"ear","33","3"
"hd","31","2"
"ue","31","2"
"sell","31","4"
"men","30","3"
"books","30","5"
"9","30","1"
"ice","29","3"
"table","29","5"
"rack","28","4"
"let","28","3"
"ebook","26","5"
"10","26","2"
"card","25","4"
"red","25","3"
"box","24","3"
"chrome","24","6"
"galaxy","23","6"
"all","23","3"
"ses","23","3"
"win","23","3"
"app","23","3"
"our","22","3"
"cam","22","3"
"art","22","3"
"mic","21","3"
"air","21","3"
"wire","20","4"
"track","20","5"
"sam","20","3"
"eat","20","3"
"seller","20","6"
"cloud","19","5"
"fire","19","4"
"hdmi","19","4"
"pad","19","3"
"pc","18","2"
"read","18","4"
"rev","18","3"
"light","18","5"
"samsung","18","7"
"goo","18","3"
"blu","18","3"
"chromebook","18","10"
"mac","17","3"
"up","17","2"
"mat","17","3"
"head","17","4"
"cases","17","5"
"top","17","3"
"s3","17","2"
"wireless","16","8"
"soundtrack","16","10"
"nikon","16","5"
"blue","16","4"
"micro","16","5"
"canon","16","5"
"vide","15","4"
"phones","15","6"
"s4","15","2"
"board","15","5"
"hat","15","3"
"ave","15","3"
"lg","15","2"
"xbox","15","4"
"moto","15","4"
"water","15","5"
"gam","15","3"
"are","15","3"
"man","15","3"
"30","15","2"
"asus","15","4"
"press","15","5"
"rds","15","3"
"thing","15","5"
"ef","14","2"
"my","14","2"
"lap","14","3"
"video","14","5"
"how","14","3"
"watch","13","5"
"king","13","4"
"review","13","6"
"ove","13","3"
"laptop","13","6"
"store","13","5"
"own","13","3"
"lock","13","4"
"his","13","3"
"tablet","13","6"
"monitor","13","7"
"destiny","13","7"
"3d","12","2"
"central","12","7"
"bluetooth","12","9"
"sd","12","2"
"bike","12","4"
"tv","12","2"
"console","12","7"
"dri","12","3"
"you","12","3"
"free","12","4"
"headphone","12","9"
"camera","12","6"
"not","12","3"
"ii","12","2"
"deal","11","4"
"day","11","3"
"paper","11","5"
"headphones","11","10"
"70","11","2"
"ath","11","3"
"trade","11","5"
"drive","11","5"
"player","11","6"
"ana","11","3"
"war","11","3"
"cia","11","3"
"google","11","6"
"logitech","11","8"
"usb","11","3"
"15","11","2"
"amz","11","3"
"sw","11","2"
"wind","11","4"
"nexus","11","5"
"mini","11","4"
"white","10","5"
"star","10","4"
"bird","10","4"
"pricing","10","7"
"ec2","10","3"
"reader","10","6"
"tea","10","3"
"best","10","4"
"make","10","4"
"12","10","2"
"down","10","4"
"pan","10","3"
"360","10","3"
"local","10","5"
"dell","9","4"
"led","9","3"
"ban","9","3"
"login","9","5"
"game","9","4"
"arm","9","3"
"music","9","5"
"cable","9","5"
"project","9","7"
"dvd","9","3"
"pay","9","3"
"mp3","9","3"
"power","9","5"
"lc","9","2"
"printer","9","7"
"ps4","9","3"
"roller","9","6"
"room","9","4"
"ink","9","3"
"inc","9","3"
"x1","9","2"
"ipad","9","4"
"what","9","4"
"speaker","8","7"
"plus","8","4"
"screen","8","6"
"sony","8","4"
"controller","8","10"
"bar","8","3"
"download","8","8"
"cost","8","4"
"buy","8","3"
"pub","8","3"
"frame","8","5"
"windows","8","7"
"audio","8","5"
"station","8","7"
"desk","8","4"
"sennheiser","8","10"
"by","8","2"
"21","8","2"
"mark","8","4"
"keyboard","8","8"
"this","8","4"
"www","8","3"
"instant","8","7"
"cap","8","3"
"get","8","3"
"face","8","4"
"lean","8","4"
"rice","8","4"
